iter	Passed	Remaining
732	1192	434
733	1194	432
734	1195	431
735	1197	429
736	1199	428
737	1200	426
738	1203	424
739	1204	423
740	1205	421
741	1207	419
742	1209	418
743	1211	416
744	1212	414
745	1214	413
746	1215	411
747	1217	410
748	1219	408
749	1221	407
750	1222	405
751	1224	403
752	1226	402
753	1227	400
754	1229	399
755	1230	397
756	1232	395
757	1234	393
758	1235	392
759	1237	390
760	1238	389
761	1240	387
762	1242	385
763	1243	384
764	1244	382
765	1246	380
766	1247	378
767	1248	377
768	1250	375
769	1251	373
770	1253	372
771	1254	370
772	1255	368
773	1257	367
774	1258	365
775	1259	363
776	1261	362
777	1262	360
778	1263	358
779	1265	356
780	1266	355
781	1268	353
782	1269	351
783	1271	350
784	1272	348
785	1274	346
786	1275	345
787	1276	343
788	1277	341
789	1279	340
790	1281	338
791	1282	336
792	1284	335
793	1285	333
794	1287	332
795	1288	330
796	1290	328
797	1292	327
798	1293	325
799	1295	323
800	1297	322
801	1298	320
802	1300	319
803	1302	317
804	1303	315
805	1305	314
806	1307	312
807	1309	311
808	1311	309
809	1313	308
810	1315	306
811	1317	305
812	1319	303
813	1321	302
814	1323	300
815	1325	298
816	1326	297
817	1328	295
818	1330	294
819	1332	292
820	1334	290
821	1336	289
822	1337	287
823	1340	286
824	1342	284
825	1344	283
826	1346	281
827	1348	280
828	1350	278
829	1352	276
830	1354	275
831	1355	273
832	1358	272
833	1360	270
834	1362	269
835	1364	267
836	1365	265
837	1367	264
838	1369	262
839	1371	261
840	1373	259
841	1375	258
842	1377	256
843	1379	254
844	1381	253
845	1383	251
846	1385	250
847	1387	248
848	1389	247
849	1391	245
850	1393	243
851	1395	242
852	1397	240
853	1399	239
854	1401	237
855	1402	235
856	1404	234
857	1406	232
858	1408	231
859	1410	229
860	1411	227
861	1413	226
862	1415	224
863	1417	223
864	1419	221
865	1421	219
866	1422	218
867	1424	216
868	1426	214
869	1427	213
870	1429	211
871	1431	210
872	1433	208
873	1435	206
874	1437	205
875	1439	203
876	1441	202
877	1442	200
878	1444	198
879	1446	197
880	1448	195
881	1449	193
882	1451	192
883	1452	190
884	1454	189
885	1456	187
886	1457	185
887	1459	184
888	1461	182
889	1462	180
890	1464	179
891	1466	177
892	1468	175
893	1470	174
894	1472	172
895	1473	171
896	1475	169
897	1477	167
898	1479	166
899	1481	164
900	1483	162
901	1484	161
902	1486	159
903	1487	158
904	1489	156
905	1490	154
906	1492	153
907	1494	151
908	1497	149
909	1498	148
910	1500	146
911	1502	144
912	1504	143
913	1506	141
914	1508	140
915	1510	138
916	1512	136
917	1514	135
918	1516	133
919	1518	132
920	1520	130
921	1522	128
922	1524	127
923	1526	125
924	1528	123
925	1529	122
926	1531	120
927	1533	118
928	1535	117
929	1537	115
930	1538	114
931	1540	112
932	1542	110
933	1543	109
934	1545	107
935	1547	105
936	1548	104
937	1550	102
938	1552	100
939	1554	99
940	1556	97
941	1558	95
942	1560	94
943	1562	92
944	1565	91
945	1566	89
946	1568	87
947	1569	86
948	1571	84
949	1573	82
950	1574	81
951	1576	79
952	1578	77
953	1580	76
954	1582	74
955	1583	72
956	1585	71
957	1587	69
958	1589	67
959	1591	66
960	1593	64
961	1594	62
962	1596	61
963	1598	59
964	1599	58
965	1601	56
966	1603	54
967	1605	53
968	1607	51
969	1609	49
970	1610	48
971	1612	46
972	1613	44
973	1615	43
974	1617	41
975	1618	39
976	1620	38
977	1622	36
978	1624	34
979	1626	33
980	1627	31
981	1629	29
982	1630	28
983	1632	26
984	1634	24
985	1635	23
986	1637	21
987	1639	19
988	1640	18
989	1642	16
990	1643	14
991	1645	13
992	1647	11
993	1648	9
994	1650	8
995	1651	6
996	1653	4
997	1655	3
998	1657	1
999	1658	0
