iter	RMSE
427	18329.26394
428	18324.77209
429	18309.99837
430	18303.57887
431	18299.13036
432	18294.58986
433	18288.40751
434	18287.16091
435	18285.65984
436	18281.57064
437	18266.36566
438	18265.15944
439	18260.4302
440	18253.1458
441	18248.83783
442	18234.26718
443	18221.11751
444	18219.92273
445	18218.66403
446	18203.95392
447	18199.73342
448	18198.47069
449	18197.37032
450	18196.03327
451	18182.02614
452	18168.91208
453	18167.68853
454	18153.20294
455	18143.71699
456	18139.5589
457	18138.34596
458	18133.48777
459	18119.03537
460	18117.67388
461	18116.44242
462	18110.3979
463	18092.47166
464	18081.54363
465	18065.07576
466	18038.24231
467	18033.26167
468	18012.70413
469	18000.057
470	17991.11998
471	17990.64004
472	17988.1546
473	17982.53134
474	17978.37779
475	17967.35296
476	17960.0262
477	17958.56587
478	17954.90211
479	17951.81936
480	17949.6907
481	17948.42023
482	17947.35091
483	17946.31681
484	17945.06922
485	17932.50976
486	17922.85613
487	17899.71562
488	17896.40144
489	17893.42838
490	17869.48232
491	17852.35605
492	17851.64816
493	17840.3995
494	17834.66759
495	17822.9452
496	17821.7773
497	17817.30159
498	17811.20617
499	17806.53612
500	17783.54877
501	17779.88725
502	17777.06003
503	17766.59626
504	17763.07145
505	17761.74264
506	17749.09559
507	17741.2877
508	17733.04567
509	17722.94076
510	17715.68971
511	17699.48101
512	17698.3741
513	17695.05412
514	17692.43865
515	17683.08141
516	17674.56787
517	17669.33197
518	17663.9983
519	17657.37263
520	17650.50453
521	17649.46845
522	17635.05529
523	17633.96613
524	17629.18409
525	17624.10181
526	17618.89624
527	17617.63269
528	17603.87217
529	17601.26265
530	17599.14315
531	17581.29359
532	17566.21838
533	17561.75082
534	17558.7427
535	17556.05392
536	17541.33229
537	17540.25416
538	17523.63328
539	17522.00693
540	17514.72151
541	17495.88046
542	17477.37527
543	17467.08536
544	17461.02335
545	17455.20146
546	17444.54963
547	17434.38974
548	17433.27432
549	17414.9977
550	17414.03187
551	17412.45686
552	17380.92234
553	17350.98623
554	17320.19549
555	17319.18818
556	17287.83671
557	17286.92586
558	17260.24534
559	17234.9953
560	17207.21178
561	17192.02357
562	17185.5879
563	17184.51894
564	17164.52105
565	17163.66771
566	17153.15059
567	17141.20067
568	17129.03347
569	17115.51379
570	17102.67022
571	17101.58336
572	17098.75738
573	17088.27341
574	17079.23955
575	17064.88732
576	17053.478
577	17047.71467
578	17034.00207
579	17021.53993
580	16996.36118
581	16987.85364
582	16955.04463
583	16934.44018
584	16918.23624
585	16909.90465
586	16897.16498
587	16884.33668
588	16868.90369
589	16867.85345
590	16860.01342
591	16855.73715
592	16832.85242
593	16829.73602
594	16824.40309
595	16817.25606
596	16806.19417
597	16801.84888
598	16793.95408
599	16787.79855
600	16773.52841
601	16763.60565
602	16756.80904
603	16755.90916
604	16755.04731
605	16745.57372
606	16740.04119
607	16727.29129
608	16726.52455
609	16710.64609
610	16696.77867
611	16695.93704
612	16694.76832
613	16688.90822
614	16673.7607
615	16662.41738
616	16661.55678
617	16658.51343
618	16652.81391
619	16638.75626
620	16631.40609
621	16630.70205
622	16617.52186
623	16599.90316
624	16590.1286
625	16577.66366
626	16573.2835
627	16572.73728
628	16571.97803
629	16566.42448
630	16547.709
631	16529.82774
632	16528.06769
633	16527.21699
634	16525.45662
635	16517.9859
636	16517.4998
637	16515.31469
638	16514.69973
639	16509.26001
640	16501.21334
641	16491.03082
642	16479.61747
643	16478.90944
644	16473.65478
645	16465.67275
646	16453.84358
647	16453.28183
648	16444.77812
649	16442.33834
650	16437.85926
651	16432.74454
652	16423.24754
653	16418.25013
654	16417.68364
655	16413.89578
656	16413.14024
657	16408.00439
658	16405.31135
659	16394.7233
660	16387.31751
661	16386.4389
662	16375.13307
663	16362.28078
664	16343.97059
665	16342.76432
666	16341.96448
667	16337.14265
668	16326.30023
669	16317.28008
670	16306.58913
671	16297.25132
672	16296.49039
673	16295.73909
674	16281.73565
675	16281.12404
676	16263.39939
677	16253.6571
678	16242.17305
679	16236.42885
680	16235.1341
681	16232.75717
682	16231.98035
683	16226.62053
684	16224.99234
685	16224.55923
686	16222.23954
687	16210.46996
688	16196.67903
689	16183.0597
690	16182.64045
691	16182.04605
692	16181.13036
693	16174.84146
694	16174.11938
695	16167.39787
696	16154.58917
697	16153.78373
698	16141.06802
699	16134.01606
700	16119.3964
701	16105.35645
702	16103.77565
703	16099.10276
704	16094.62222
705	16082.95664
706	16070.47483
707	16059.91522
708	16059.14886
709	16045.1825
710	16039.22154
711	16034.83176
712	16026.26704
713	16024.59572
714	16023.85457
715	16023.74186
716	16023.23207
717	16012.77088
718	15992.53174
719	15978.11779
720	15976.89604
721	15972.41117
722	15963.83265
723	15952.01405
724	15939.44209
725	15933.45194
726	15932.72493
727	15931.1125
728	15916.86525
729	15912.48342
730	15911.64467
731	15899.17318
732	15898.5381
733	15890.6847
734	15889.54147
735	15884.81019
736	15877.66548
737	15875.46592
738	15868.40216
739	15867.76162
740	15863.90701
741	15854.02227
742	15843.41097
743	15835.67352
744	15835.1762
745	15833.33261
746	15833.22949
747	15821.12212
748	15819.01923
749	15812.33466
750	15811.85642
751	15795.54342
752	15793.46773
753	15785.93082
754	15774.46302
755	15773.78905
756	15772.35193
757	15770.18585
758	15754.56448
759	15749.85109
760	15735.54511
761	15715.10105
762	15710.613
763	15706.17829
764	15705.04506
765	15701.8957
766	15701.27718
767	15699.14705
768	15687.72531
769	15673.89196
770	15668.80784
771	15662.77327
772	15662.69942
773	15661.78091
774	15661.13965
775	15647.70732
776	15643.17593
777	15633.84049
778	15632.41471
779	15631.28661
780	15614.04135
781	15606.54829
782	15599.28586
783	15591.52096
784	15587.04493
785	15580.67656
786	15574.0846
787	15572.71623
788	15571.66182
789	15567.45532
790	15564.65344
791	15557.59318
792	15541.18012
793	15537.28561
794	15531.49996
795	15529.52051
796	15514.32119
797	15489.29618
798	15474.77872
799	15462.8691
800	15454.24259
801	15431.44465
802	15425.33801
803	15422.2992
804	15417.90629
805	15417.44015
806	15411.49281
807	15402.55865
808	15395.2527
809	15393.61908
810	15382.52982
811	15382.29602
812	15370.16711
813	15369.58204
814	15358.93996
815	15353.43948
816	15346.88326
817	15336.5254
818	15334.71835
819	15326.13951
820	15324.43328
821	15309.40012
822	15308.05157
823	15302.27109
824	15299.65159
825	15296.21155
826	15283.30751
827	15278.17803
828	15276.62232
829	15275.79422
830	15275.08969
831	15263.68551
832	15254.55459
833	15245.81349
834	15241.33672
835	15227.29117
836	15222.26857
837	15212.38075
838	15203.53994
839	15188.22353
840	15186.64845
841	15186.45836
842	15181.12067
843	15169.50265
844	15169.0668
845	15167.97331
846	15164.35683
847	15162.98696
848	15160.314
849	15150.94129
850	15141.99815
851	15140.41276
852	15130.32495
853	15129.8833
854	15119.56719
855	15106.41392
856	15105.9407
857	15093.53834
858	15092.39805
859	15086.80638
860	15085.36225
861	15078.95968
862	15069.36619
863	15061.24446
864	15054.90011
865	15044.13605
866	15038.68546
867	15032.1832
868	15020.9623
869	15009.47545
870	15006.18795
871	14997.59621
872	14997.01488
873	14992.85578
874	14985.88573
875	14978.9984
876	14973.63973
877	14968.03871
878	14960.75167
879	14957.9175
880	14952.00765
881	14951.41268
882	14931.26439
883	14931.07711
884	14923.03217
885	14908.10112
886	14893.38434
887	14884.90632
888	14871.61933
889	14871.26241
890	14867.29633
891	14860.19022
892	14849.15128
893	14839.05167
894	14839.01482
895	14838.97936
896	14832.82716
897	14823.48603
898	14812.94022
899	14808.74855
900	14806.59746
901	14799.36683
902	14795.23503
903	14784.53433
904	14768.72367
905	14767.44678
906	14754.32755
907	14753.9649
908	14742.73613
909	14742.34719
910	14734.13367
911	14732.40201
912	14730.08178
913	14722.90528
914	14716.73385
915	14708.08487
916	14707.44479
917	14701.9524
918	14698.71842
919	14698.3501
920	14687.94167
921	14679.83085
922	14669.96542
923	14669.81488
924	14666.67252
925	14663.8887
926	14651.89794
927	14649.49305
928	14647.17788
929	14635.20232
930	14630.42634
931	14625.1303
932	14619.65979
933	14619.33505
934	14611.39504
935	14600.49724
936	14600.44751
937	14599.72995
938	14594.2216
939	14587.95122
940	14587.60346
941	14586.11461
942	14575.75318
943	14568.237
944	14565.76259
945	14555.7868
946	14555.46925
947	14549.43763
948	14542.10704
949	14541.97522
950	14541.59695
951	14534.68052
952	14529.95082
953	14524.18498
954	14518.49729
955	14510.47247
956	14510.16946
957	14500.28301
958	14492.95225
959	14492.4094
960	14484.35499
961	14483.96518
962	14472.51119
963	14456.13279
964	14439.55989
965	14438.61906
966	14430.41425
967	14429.96829
968	14428.06891
969	14420.21317
970	14412.14254
971	14407.29843
972	14406.59708
973	14397.37609
974	14391.46815
975	14391.17822
976	14390.91028
977	14390.66379
978	14385.63627
979	14381.00281
980	14379.67602
981	14379.54993
982	14379.21613
983	14378.71117
984	14369.3453
985	14362.78336
986	14359.63129
987	14350.61436
988	14337.80976
989	14332.63373
990	14321.17518
991	14316.76008
992	14306.08733
993	14303.15568
994	14302.94275
995	14296.69506
996	14293.47366
997	14292.547
998	14281.86702
999	14270.53819
